motif_family	TF	std_over_alpha_traj	std_over_beta_traj	cc_over_alpha_traj	time_max_cc_over_alpha_traj	cc_over_beta_traj	time_max_cc_over_beta_traj	z_score
Ahr	Ahr	0.00551743776485375	0.00596878350845024	0.954051807888127	-3	0.970431670737702	-8	1.44389290210223
Arid3a	Arid3a	0.0305220553241728	0.00692866158886824	0.80150418684917	0	0.168820815253954	1688	1.75474715112195
Arid5b	Arid5b	0.00870411746466794	0.01082364039578	0.459852842001282	0	0.983243593036369	15	3.09254262172845
Arnt	Arnt	0.00437808576568458	0.00605222249143222	0.358794799026706	-1632	0.254830674772914	-1597	1.71692488866446
Arnt2	Arnt2	0.0176662126665759	0.0165731679076856	0.215454340149057	-1692	0.918061098955458	0	1.43375216033255
Arntl_Tfe3_Mlx_Mitf_Mlxipl_Tfec	Arntl	0.00669667230114973	0.0046051607669139	0.786766181495444	0	0.233723509674166	-1543	1.2196549736171
Arntl_Tfe3_Mlx_Mitf_Mlxipl_Tfec	Tfe3	0.00669667230114973	0.0046051607669139	NaN	NaN	NaN	NaN	1.2196549736171
Arntl_Tfe3_Mlx_Mitf_Mlxipl_Tfec	Mlx	0.00669667230114973	0.0046051607669139	NaN	NaN	NaN	NaN	1.2196549736171
Arntl_Tfe3_Mlx_Mitf_Mlxipl_Tfec	Mitf	0.00669667230114973	0.0046051607669139	0.84099101630906	1	0.216176407278544	-1566	1.2196549736171
Arntl_Tfe3_Mlx_Mitf_Mlxipl_Tfec	Mlxipl	0.00669667230114973	0.0046051607669139	0.243539375231043	-1697	0.974169464091973	0	1.2196549736171
Arntl_Tfe3_Mlx_Mitf_Mlxipl_Tfec	Tfec	0.00669667230114973	0.0046051607669139	NaN	NaN	NaN	NaN	1.2196549736171
Atf1_Creb5	Atf1	0.00607837806291229	0.00945233717597714	0.47267778622095	-1	0.956709641431817	-1	1.24268872496654
Atf1_Creb5	Creb5	0.00607837806291229	0.00945233717597714	0.963377077117546	-1	0.986106166389682	-1	1.24268872496654
Atf3	Atf3	0.00913488759218266	0.0105673867742049	0.254925544709167	1503	0.238417082972591	1522	2.08753641813711
Atf4	Atf4	0.0058928814278757	0.0191085152739341	0.916462896182015	-1	0.404718063829478	-151	1.50581835071801
Atf6	Atf6	0.00340252813203479	0.0144669923298992	0.286019982817342	-1650	0.987395218754417	0	1.02712875106954
Bach2	Bach2	0.00329013017141334	0.0111398530894919	0.233582972857904	-1812	0.974433627893201	0	0.964853037846594
Bbx	Bbx	0.0537582054084476	0.0414727751593767	0.639228944088996	0	0.206280455706628	1511	2.46438925908915
Bptf	Bptf	0.0116679357886703	0.0115393926818225	0.332211018629037	-1554	0.268455290690934	-1550	2.54629451647099
