motif_family	TF	std_over_alpha_traj	std_over_beta_traj	std_over_ec_traj	cc_over_alpha_traj	time_max_cc_over_alpha_traj	cc_over_beta_traj	time_max_cc_over_beta_traj	cc_over_ec_traj	time_max_cc_over_ec_traj	z_score
AHR_ARNT2	AHR	0.00434893183863711	0.00365332709197842	0.00110785140326448	0.112160803998569	284	0.209296791984789	1503	0.20075276882045	1436	2.07398750172531
AHR_ARNT2	ARNT2	0.00434893183863711	0.00365332709197842	0.00110785140326448	0.768274748727886	0	0.422857116207232	207	0.788294239085737	0	2.07398750172531
ALX1_ARX	ALX1	0.00926790897532635	0.0131784865976188	0.0238225395067771	0.027345486938494	183	0.0592911775672818	-1433	0.137269039958033	-1644	2.41392695909274
ALX1_ARX	ARX	0.00926790897532635	0.0131784865976188	0.0238225395067771	0.655146350742205	-71	0.181084601802813	1452	0.808865834876377	-106	2.41392695909274
ARID5B	ARID5B	0.00892911435829642	0.0246507248714927	0.00780743522943286	0.41471141425327	80	0.240792597447283	-1499	0.402941696655772	-372	2.14014118582373
ARNT	ARNT	0.0213828991695629	0.00936752809913136	0.00911091215446494	0.159609253486478	253	0.269207798619328	-1390	0.807838983559914	-77	2.13941283094366
AR_NR3C2	AR	0.0176675129589267	0.00643644980989846	0.0126396350253128	0.135318173380246	140	0.229131541550243	-1363	0.101853003235401	-1652	1.83374241617244
AR_NR3C2	NR3C2	0.0176675129589267	0.00643644980989846	0.0126396350253128	0.510708228960511	-5	0.520637985676963	42	0.809718020489998	-11	1.83374241617244
ATF2_ATF1_ATF3	ATF2	0.00128439244732977	0.0038453749697785	0.0013610584771563	NaN	NaN	NaN	NaN	NaN	NaN	1.3219427765763
ATF2_ATF1_ATF3	ATF1	0.00128439244732977	0.0038453749697785	0.0013610584771563	0.234026972825125	-143	0.182748450746848	-1302	0.326477324224113	131	1.3219427765763
ATF2_ATF1_ATF3	ATF3	0.00128439244732977	0.0038453749697785	0.0013610584771563	0.333468210051022	112	0.697730828370381	66	0.30069450198085	133	1.3219427765763
ATF5	ATF5	0.0597490663903554	0.101704838743434	0.0265476461690864	0.0945385928539578	-1201	0.213901958188441	-1568	0.862597754413329	1	2.44548949439874
ATF6	ATF6	0.00532331503724327	0.0178134213350755	0.0134946115261105	0.571205641230894	-24	0.806037927306274	-20	0.112720689378168	51	2.01489938385697
ATF7	ATF7	0.0180920893810679	0.018346714604133	0.00955169383703174	0.547541438078666	-1	0.117925488755586	-798	0.723047225044426	39	1.33227577369902
BACH1_NFE2_NFE2L2	BACH1	0.0204044954832663	0.0282196568529957	0.0228414603408647	0.243726754990002	-1408	0.449106283380563	-27	0.747674904952876	-32	2.08758486167768
BACH1_NFE2_NFE2L2	NFE2	0.0204044954832663	0.0282196568529957	0.0228414603408647	NaN	NaN	NaN	NaN	NaN	NaN	2.08758486167768
BACH1_NFE2_NFE2L2	NFE2L2	0.0204044954832663	0.0282196568529957	0.0228414603408647	NaN	NaN	NaN	NaN	NaN	NaN	2.08758486167768
BACH2	BACH2	0.0102686141723877	0.0184117245153114	0.0275419206054614	0.172403322344028	-1220	0.125285509872178	1786	0.969400236951096	-60	2.56542516221928
BATF3	BATF3	0.0173795126335098	0.0571755587564472	0.0705322347158861	0.211792662409134	-194	0.207895969265907	-185	0.388301563148303	-135	2.55293425192911
BHLHE22_BHLHA15_BHLHE23	BHLHE22	0.0330426526370289	0.0461216759958917	0.0105618832962058	0.073298865481792	1484	0.0492590988771957	1424	0.325883632064428	1	1.74176883304515
BHLHE22_BHLHA15_BHLHE23	BHLHA15	0.0330426526370289	0.0461216759958917	0.0105618832962058	NaN	NaN	NaN	NaN	NaN	NaN	1.74176883304515
BHLHE22_BHLHA15_BHLHE23	BHLHE23	0.0330426526370289	0.0461216759958917	0.0105618832962058	NaN	NaN	NaN	NaN	NaN	NaN	1.74176883304515
BHLHE40	BHLHE40	0.0544832140608219	0.0360366651356663	0.0338361684642262	0.836506269139592	0	0.837854236024639	0	0.927121409622233	0	1.78255623617856
BRCA1	BRCA1	0.00423730834477885	0.0111130914904798	0.0185397687033954	0.468925635286853	1	0.439257195401167	1	0.0767007078349602	1553	1.99945683978855
CBFB	CBFB	0.0083532121644277	0.0124319257825071	0.019765627254596	0.522419203930422	-45	0.778121590989704	-37	0.207934586630868	1526	2.19369596841014
CDX1	CDX1	0.0495581104476853	0.0460460856995609	0.026575315708978	NaN	-1999	NaN	-1999	NaN	-1999	2.21653196248316
CDX2	CDX2	0.0336770985340965	0.0416900906728295	0.00794621786598492	0.679790177436995	-71	0.881111658209337	-63	0.387548499108206	118	2.40593922361881
CEBPA	CEBPA	0.00870879902173665	0.0130276347783706	0.0155152322578879	0.278571979747332	251	0.167185522047054	-1713	0.223197003315246	-1486	1.76277033381273
CEBPB	CEBPB	0.0330468006375678	0.0619426698253894	0.0128810426892163	0.118707184298685	1712	0.478312898445472	-140	0.504580538937493	-162	2.75611361018925
CEBPE_CEBPD	CEBPE	0.030691290785194	0.018831105494149	0.0249591163895976	NaN	NaN	NaN	NaN	NaN	NaN	1.27176647886772
CEBPE_CEBPD	CEBPD	0.030691290785194	0.018831105494149	0.0249591163895976	0.151314068534014	1701	0.131896740362731	315	0.138588810163805	-1641	1.27176647886772
CEBPG	CEBPG	0.0231831897367434	0.0151050663776747	0.0185586721835309	0.185587089598879	-291	0.157527405754793	-1771	0.19763984350496	-1450	1.78099685619125
CPEB1	CPEB1	0.00845978347523969	0.0189727066826126	0.0123247977622013	0.173060066145026	-1692	0.240497039242312	-1578	0.232213430331355	-1616	3.08770367435612
CREB1	CREB1	0.0290679280234593	0.0259377971265882	0.0166214368060712	0.501794146494661	-136	0.226585057713577	-1455	0.231867982986841	-1473	3.40775201014655
